涵沟槽,‖同【沟槽】在第68页。,
饮,稀饭的汤汁。,
饮糜,稀饭；粥：起早食～。△食龙食凤，伓如蜀碗～汤（按照莆仙人的饮食习惯，还是吃稀饭可口）。,
盎,陶缸：米～。,
暗下,阴着儿：使～。,
暗心毒行,隐藏不为人知的狠毒心肠。,
暗帕,除了袋盖，其他部分都在衣服内部的口袋，如西装口袋。与“显帕”相对。,
暗定,黄昏。,
暗摸眩,晕眩，是目眩（眼花视物模糊不清和昏暗发黑）和头晕（视物旋转，或如天旋地转不能站立）的总称。,
暗暝时,①夜里。②晚上。‖同【暝时】在第127页。,
蓊,茂盛：树～～。,
瓯,小碗，‖也叫【瓯囝】见下方。,
瓯囝,‖同【瓯】见上方。,
鏖糟,‖同【见脏】在第74页。,
后□,向后仰倒。,
后工,改天：等～再讲。,
后山,后台；靠山。‖也说【后壁山】在第5页。,
后厄,后天,
后厄下昼,后天下午。,
后厄年,后年。,
后厄起早,后天早上。,
后厄暝,后天晚上。,
后日,以后。,
后世,同【下世】在第5页。,
后世债,民间认为，欠死者的钱一定要还清，否则下世会被讨债。,
后向,后面，与“头前”①义相对。,
后角,后面。,
后角尾,最后面。,
后尾,后来：做头我伓知向，～有听别侬讲。,
后披,前后坡房子的后坡。,
后枕窠,后脑勺儿。,
后郎罢,后爹。,
后房,莆仙民居大厅后面的那一间。,
后衫衣,衣服的后面。,
后驶,出界。‖英语outside的音译。,
后娘妳,后娘。,
后假,假，与“真经”相对：伊讲～话|～吼（假哭）|者牵事体是～的（这件事是假的）。,
后假话,谎话；假话。,
后假骗,骗人：爸爸～，汝伓使惊（爸爸骗你，不要怕）。,
后脚??,脚后跟。‖也叫【脚后??】在第106页。,
后棚,戏台侧旁，乐队所在处。,
后禁,自行车后轮刹把。,
后遮封,旧式木床铺后壁的防护围板。,
后篙,在溪流河沟里用竹竿刺船前进时，在后面刺船的人，一般技术较高，要掌握方向。,
后壁山,同【后山】在第4页。,
莴苣仁,一种下饭的菜。把莴切成圆形薄片，再用酱油腌制而成。,
莴苣尾,莴苣。,
下丁下哥,晚辈，含轻蔑意：汝～知甚么。,
下工,明天；改天。,
下上昼,上午的下半段。,
下日,改天：今旦无工（今天没空），～来。,
下手,下属，部下，接替前辈工作事业的人：培养～厄侬。|许当时我是伊～（那时候我是他的部下）。,
下手肚,前臂。,
下月,下个月。‖也叫【过月】在第78页。,
